ZIPCODE,HOUSEHOLD,FAMILIES,FAMILIES_CHILD,FAMILIES_NO_CHILD
Zip Code 10001,"$92,840.00","$122,776.00","$106,452.00","$132,545.00"
Zip Code 10002,"$36,982.00","$40,045.00","$42,054.00","$38,639.00"
Zip Code 10003,"$118,161.00","$183,787.00","$250,001.00","$153,480.00"
Zip Code 10004,"$190,223.00","$205,202.00","$244,000.00","$204,130.00"
Zip Code 10005,"$189,702.00","$241,094.00","$250,001.00","$202,042.00"
Zip Code 10006,"$179,044.00","$245,764.00","$250,001.00","$196,500.00"
Zip Code 10007,"$224,063.00","$250,001.00","$250,001.00","$250,001.00"
Zip Code 10009,"$63,717.00","$71,135.00","$76,618.00","$68,646.00"
Zip Code 10010,"$132,988.00","$229,709.00","$250,001.00","$204,877.00"
Zip Code 10011,"$138,272.00","$249,545.00","$250,001.00","$207,181.00"
Zip Code 10012,"$106,467.00","$151,028.00","$166,534.00","$145,000.00"
Zip Code 10013,"$113,191.00","$163,951.00","$250,001.00","$104,234.00"
Zip Code 10014,"$133,501.00","$224,625.00","$250,001.00","$191,483.00"
Zip Code 10016,"$126,628.00","$206,816.00","$230,733.00","$205,769.00"
Zip Code 10017,"$131,045.00","$218,875.00","$250,001.00","$218,161.00"
Zip Code 10018,"$122,484.00","$185,688.00","$185,688.00","$190,417.00"
Zip Code 10019,"$103,792.00","$176,972.00","$167,896.00","$180,424.00"
Zip Code 10021,"$122,169.00","$240,453.00","$250,001.00","$238,064.00"
Zip Code 10022,"$150,718.00","$250,001.00","$250,001.00","$250,001.00"
Zip Code 10023,"$132,605.00","$228,389.00","$249,033.00","$216,875.00"
Zip Code 10024,"$143,623.00","$246,034.00","$250,001.00","$218,864.00"
Zip Code 10025,"$91,624.00","$133,439.00","$215,882.00","$113,859.00"
Zip Code 10026,"$59,691.00","$66,157.00","$69,625.00","$65,399.00"
Zip Code 10027,"$51,938.00","$58,680.00","$59,837.00","$57,456.00"
Zip Code 10028,"$122,969.00","$237,537.00","$250,001.00","$200,524.00"
Zip Code 10029,"$33,720.00","$39,845.00","$32,484.00","$48,020.00"
Zip Code 10030,"$42,348.00","$53,586.00","$41,500.00","$65,152.00"
Zip Code 10031,"$53,660.00","$54,699.00","$50,643.00","$59,748.00"
Zip Code 10032,"$53,525.00","$58,919.00","$44,799.00","$63,411.00"
Zip Code 10033,"$63,093.00","$66,075.00","$74,659.00","$64,422.00"
Zip Code 10034,"$54,406.00","$56,284.00","$51,677.00","$60,904.00"
Zip Code 10035,"$29,799.00","$36,645.00","$28,300.00","$41,685.00"
Zip Code 10036,"$95,301.00","$112,342.00","$84,337.00","$151,719.00"
Zip Code 10037,"$46,263.00","$51,536.00","$33,839.00","$68,094.00"
Zip Code 10038,"$95,702.00","$93,156.00","$146,473.00","$88,095.00"
Zip Code 10039,"$42,278.00","$44,253.00","$38,400.00","$53,777.00"
Zip Code 10040,"$49,677.00","$56,530.00","$50,405.00","$61,463.00"
Zip Code 10044,"$104,808.00","$121,453.00","$165,431.00","$111,228.00"
Zip Code 10065,"$148,441.00","$246,005.00","$250,001.00","$217,072.00"
Zip Code 10069,"$132,500.00","$200,150.00","$250,001.00","$129,701.00"
Zip Code 10075,"$138,640.00","$177,237.00","$175,724.00","$178,698.00"
Zip Code 10128,"$121,829.00","$192,940.00","$235,861.00","$177,072.00"
Zip Code 10280,"$182,760.00","$247,627.00","$250,001.00","$213,482.00"
Zip Code 10282,"$250,001.00","$250,001.00","$250,001.00","$250,001.00"
Zip Code 10301,"$62,052.00","$82,267.00","$60,223.00","$89,521.00"
Zip Code 10302,"$66,096.00","$93,750.00","$77,853.00","$99,420.00"
Zip Code 10303,"$67,215.00","$74,187.00","$67,266.00","$80,817.00"
Zip Code 10304,"$54,199.00","$73,135.00","$58,781.00","$90,167.00"
Zip Code 10305,"$79,742.00","$95,406.00","$91,282.00","$97,097.00"
Zip Code 10306,"$80,834.00","$96,131.00","$89,390.00","$97,884.00"
Zip Code 10307,"$85,103.00","$113,839.00","$108,073.00","$118,715.00"
Zip Code 10308,"$103,027.00","$113,498.00","$116,021.00","$112,661.00"
Zip Code 10309,"$109,457.00","$126,350.00","$132,473.00","$114,768.00"
Zip Code 10310,"$76,075.00","$90,379.00","$77,165.00","$98,788.00"
Zip Code 10312,"$97,407.00","$113,327.00","$119,989.00","$106,667.00"
Zip Code 10314,"$91,505.00","$107,154.00","$109,945.00","$105,450.00"
Zip Code 10451,"$30,349.00","$37,332.00","$28,590.00","$45,956.00"
Zip Code 10452,"$29,579.00","$35,155.00","$30,744.00","$41,150.00"
Zip Code 10453,"$29,136.00","$33,760.00","$25,919.00","$42,783.00"
Zip Code 10454,"$21,447.00","$30,076.00","$23,561.00","$36,085.00"
Zip Code 10455,"$28,585.00","$33,920.00","$26,502.00","$42,637.00"
Zip Code 10456,"$27,917.00","$35,269.00","$31,099.00","$42,260.00"
Zip Code 10457,"$29,767.00","$38,096.00","$26,999.00","$49,338.00"
Zip Code 10458,"$35,423.00","$38,624.00","$31,754.00","$47,544.00"
Zip Code 10459,"$29,284.00","$35,536.00","$31,228.00","$44,762.00"
Zip Code 10460,"$27,545.00","$33,282.00","$25,665.00","$44,649.00"
Zip Code 10461,"$58,305.00","$68,066.00","$60,313.00","$71,779.00"
Zip Code 10462,"$54,278.00","$59,538.00","$52,707.00","$67,672.00"
Zip Code 10463,"$58,408.00","$66,470.00","$64,616.00","$67,402.00"
Zip Code 10464,"$96,366.00","$132,596.00","$148,594.00","$125,915.00"
Zip Code 10465,"$75,617.00","$95,996.00","$92,754.00","$97,953.00"
Zip Code 10466,"$58,393.00","$67,912.00","$54,786.00","$79,009.00"
Zip Code 10467,"$39,372.00","$46,530.00","$40,961.00","$52,038.00"
Zip Code 10468,"$37,804.00","$41,488.00","$37,437.00","$46,462.00"
Zip Code 10469,"$65,399.00","$73,973.00","$65,407.00","$79,935.00"
Zip Code 10470,"$61,266.00","$71,506.00","$66,393.00","$81,667.00"
Zip Code 10471,"$88,722.00","$114,241.00","$127,000.00","$109,429.00"
Zip Code 10472,"$33,498.00","$38,655.00","$33,327.00","$48,573.00"
Zip Code 10473,"$41,508.00","$51,096.00","$47,887.00","$51,921.00"
Zip Code 10474,"$22,965.00","$25,429.00","$20,114.00","$41,220.00"
Zip Code 10475,"$51,951.00","$67,383.00","$51,838.00","$76,474.00"
Zip Code 11001,"$113,300.00","$134,087.00","$142,500.00","$126,994.00"
Zip Code 11004,"$95,436.00","$110,406.00","$104,965.00","$113,256.00"
Zip Code 11005,"$55,313.00","$139,313.00","$139,313.00","$139,313.00"
Zip Code 11040,"$129,344.00","$142,316.00","$172,879.00","$123,484.00"
Zip Code 11096,"$60,675.00","$67,726.00","$57,303.00","$69,375.00"
Zip Code 11101,"$75,581.00","$82,636.00","$71,175.00","$85,750.00"
Zip Code 11102,"$71,382.00","$75,440.00","$70,625.00","$76,609.00"
Zip Code 11103,"$76,234.00","$81,250.00","$65,463.00","$87,625.00"
Zip Code 11104,"$67,751.00","$76,895.00","$62,898.00","$86,176.00"
Zip Code 11105,"$79,883.00","$90,013.00","$89,266.00","$90,222.00"
Zip Code 11106,"$68,530.00","$78,526.00","$60,128.00","$84,849.00"
Zip Code 11109,"$160,625.00","$199,823.00","$199,796.00","$200,030.00"
Zip Code 11201,"$129,248.00","$176,004.00","$212,770.00","$153,573.00"
Zip Code 11203,"$54,457.00","$68,184.00","$52,683.00","$74,184.00"
Zip Code 11204,"$53,093.00","$58,848.00","$55,430.00","$61,938.00"
Zip Code 11205,"$58,872.00","$60,319.00","$52,478.00","$76,273.00"
Zip Code 11206,"$39,753.00","$38,430.00","$31,411.00","$43,341.00"
Zip Code 11207,"$39,382.00","$51,643.00","$41,909.00","$60,492.00"
Zip Code 11208,"$42,403.00","$50,726.00","$42,306.00","$58,472.00"
Zip Code 11209,"$77,917.00","$101,737.00","$105,378.00","$99,627.00"
Zip Code 11210,"$69,385.00","$80,453.00","$77,935.00","$80,736.00"
Zip Code 11211,"$81,228.00","$63,639.00","$51,088.00","$80,625.00"
Zip Code 11212,"$26,521.00","$41,115.00","$31,196.00","$48,587.00"
Zip Code 11213,"$44,831.00","$51,262.00","$45,618.00","$61,229.00"
Zip Code 11214,"$56,911.00","$64,478.00","$59,230.00","$70,241.00"
Zip Code 11215,"$132,091.00","$170,511.00","$198,075.00","$149,919.00"
Zip Code 11216,"$67,795.00","$79,242.00","$90,183.00","$76,490.00"
Zip Code 11217,"$119,375.00","$145,365.00","$174,612.00","$122,331.00"
Zip Code 11218,"$73,470.00","$80,422.00","$76,073.00","$83,956.00"
Zip Code 11219,"$40,683.00","$41,839.00","$37,642.00","$52,323.00"
Zip Code 11220,"$50,191.00","$47,150.00","$39,276.00","$55,656.00"
Zip Code 11221,"$56,900.00","$61,331.00","$57,606.00","$63,711.00"
Zip Code 11222,"$93,488.00","$105,557.00","$125,326.00","$95,679.00"
Zip Code 11223,"$54,023.00","$65,254.00","$56,319.00","$70,825.00"
Zip Code 11224,"$32,549.00","$43,584.00","$40,706.00","$45,255.00"
Zip Code 11225,"$59,820.00","$65,968.00","$49,952.00","$75,721.00"
Zip Code 11226,"$58,257.00","$65,178.00","$56,446.00","$69,486.00"
Zip Code 11228,"$72,902.00","$84,054.00","$83,297.00","$85,298.00"
Zip Code 11229,"$64,631.00","$81,481.00","$77,106.00","$83,701.00"
Zip Code 11230,"$53,070.00","$66,240.00","$61,640.00","$72,023.00"
Zip Code 11231,"$99,643.00","$141,500.00","$157,463.00","$114,776.00"
Zip Code 11232,"$61,200.00","$58,913.00","$46,942.00","$73,433.00"
Zip Code 11233,"$44,905.00","$48,545.00","$39,279.00","$62,063.00"
Zip Code 11234,"$85,807.00","$95,976.00","$98,967.00","$94,328.00"
Zip Code 11235,"$54,646.00","$71,542.00","$70,663.00","$72,566.00"
Zip Code 11236,"$70,793.00","$82,853.00","$74,329.00","$87,984.00"
Zip Code 11237,"$53,303.00","$43,640.00","$33,151.00","$51,954.00"
Zip Code 11238,"$91,846.00","$118,291.00","$156,853.00","$102,133.00"
Zip Code 11239,"$29,172.00","$34,528.00","$51,786.00","$29,907.00"
Zip Code 11354,"$40,786.00","$47,405.00","$45,768.00","$49,046.00"
Zip Code 11355,"$42,507.00","$45,619.00","$40,483.00","$50,417.00"
Zip Code 11356,"$61,859.00","$66,463.00","$65,347.00","$68,000.00"
Zip Code 11357,"$85,818.00","$98,213.00","$109,881.00","$85,985.00"
Zip Code 11358,"$68,848.00","$78,357.00","$86,042.00","$76,767.00"
Zip Code 11360,"$83,063.00","$107,188.00","$116,944.00","$95,662.00"
Zip Code 11361,"$87,892.00","$97,203.00","$96,057.00","$100,285.00"
Zip Code 11362,"$93,333.00","$121,625.00","$141,975.00","$118,036.00"
Zip Code 11363,"$101,019.00","$128,009.00","$138,750.00","$113,571.00"
Zip Code 11364,"$82,028.00","$98,424.00","$102,846.00","$96,783.00"
Zip Code 11365,"$67,642.00","$75,409.00","$73,354.00","$76,273.00"
Zip Code 11366,"$84,301.00","$93,913.00","$67,014.00","$101,607.00"
Zip Code 11367,"$63,546.00","$72,975.00","$67,392.00","$79,414.00"
Zip Code 11368,"$54,211.00","$51,779.00","$42,746.00","$65,063.00"
Zip Code 11369,"$54,184.00","$64,000.00","$50,651.00","$73,498.00"
Zip Code 11370,"$63,706.00","$81,712.00","$65,069.00","$83,893.00"
Zip Code 11372,"$60,659.00","$62,626.00","$53,508.00","$66,051.00"
Zip Code 11373,"$54,584.00","$58,918.00","$50,813.00","$65,610.00"
Zip Code 11374,"$66,795.00","$87,591.00","$94,310.00","$86,692.00"
Zip Code 11375,"$84,713.00","$109,994.00","$131,646.00","$98,606.00"
Zip Code 11377,"$58,948.00","$64,678.00","$56,743.00","$69,458.00"
Zip Code 11378,"$77,710.00","$87,242.00","$86,062.00","$88,705.00"
Zip Code 11379,"$83,883.00","$102,200.00","$100,813.00","$103,559.00"
Zip Code 11385,"$75,340.00","$76,414.00","$71,612.00","$79,628.00"
Zip Code 11411,"$98,207.00","$113,769.00","$111,648.00","$115,350.00"
Zip Code 11412,"$81,608.00","$94,103.00","$91,181.00","$94,878.00"
Zip Code 11413,"$93,432.00","$99,229.00","$92,703.00","$102,446.00"
Zip Code 11414,"$75,471.00","$89,181.00","$91,742.00","$86,996.00"
Zip Code 11415,"$70,900.00","$86,948.00","$109,130.00","$76,979.00"
Zip Code 11416,"$73,370.00","$75,471.00","$60,061.00","$81,333.00"
Zip Code 11417,"$76,868.00","$85,046.00","$70,104.00","$93,378.00"
Zip Code 11418,"$68,920.00","$72,047.00","$65,565.00","$76,121.00"
Zip Code 11419,"$75,835.00","$79,508.00","$67,548.00","$87,696.00"
Zip Code 11420,"$79,273.00","$82,528.00","$70,540.00","$88,871.00"
Zip Code 11421,"$73,107.00","$78,779.00","$72,021.00","$83,675.00"
Zip Code 11422,"$88,130.00","$92,304.00","$89,972.00","$94,028.00"
Zip Code 11423,"$71,194.00","$82,156.00","$74,429.00","$88,560.00"
Zip Code 11426,"$98,987.00","$115,136.00","$114,034.00","$115,602.00"
Zip Code 11427,"$79,385.00","$96,292.00","$94,575.00","$97,409.00"
Zip Code 11428,"$78,368.00","$88,320.00","$79,250.00","$90,433.00"
Zip Code 11429,"$88,300.00","$97,941.00","$88,531.00","$100,052.00"
Zip Code 11432,"$62,148.00","$67,198.00","$55,290.00","$79,468.00"
Zip Code 11433,"$54,253.00","$65,591.00","$61,544.00","$68,725.00"
Zip Code 11434,"$64,087.00","$81,641.00","$76,721.00","$85,763.00"
Zip Code 11435,"$66,137.00","$70,354.00","$55,066.00","$84,334.00"
Zip Code 11436,"$75,222.00","$79,740.00","$63,969.00","$84,737.00"
Zip Code 11691,"$50,267.00","$61,360.00","$60,325.00","$64,441.00"
Zip Code 11692,"$46,819.00","$50,516.00","$42,614.00","$57,188.00"
Zip Code 11693,"$60,569.00","$66,250.00","$62,188.00","$67,741.00"
Zip Code 11694,"$84,485.00","$111,046.00","$120,943.00","$107,721.00"
Zip Code 11697,"$105,750.00","$123,438.00","$189,400.00","$115,000.00"
Zip Code 7306,"$59,794.00","$59,794.00","$59,794.00","$59,794.00"
Zip Code 7302,"$136,679.00","$136,679.00","$136,679.00","$136,679.00"
Zip Code 7310,"$147,516.00","$147,516.00","$147,516.00","$147,516.00"
Zip Code 7105,"$147,516.00","$147,516.00","$147,516.00","$147,516.00"
Zip Code 7029,"$88,365.00","$88,365.00","$88,365.00","$88,365.00"
Zip Code 7102,"$47,417.00","$47,417.00","$47,417.00","$47,417.00"